student_id,STG,SCG,STR,LPR,PEG,UNS,source_sheet
S001,0.0,0.0,0.0,0.0,0.0,very_low,Training_Data
S004,0.1,0.1,0.15,0.65,0.3,Middle,Training_Data
S006,0.09,0.15,0.4,0.1,0.66,Middle,Training_Data
S010,0.0,0.0,0.5,0.2,0.85,High,Training_Data
S016,0.12,0.12,0.75,0.35,0.8,High,Training_Data
S019,0.15,0.32,0.05,0.27,0.29,Low,Training_Data
S023,0.1,0.27,0.31,0.29,0.65,Middle,Training_Data
S026,0.09,0.3,0.68,0.18,0.85,High,Training_Data
S031,0.12,0.245,0.75,0.31,0.59,Middle,Training_Data
S032,0.15,0.295,0.75,0.65,0.24,Low,Training_Data
S034,0.18,0.32,0.04,0.19,0.82,High,Training_Data
S040,0.19,0.38,0.38,0.49,0.45,Middle,Training_Data
S043,0.14,0.49,0.55,0.29,0.6,Middle,Training_Data
S046,0.17,0.36,0.8,0.14,0.66,Middle,Training_Data
S047,0.1,0.39,0.75,0.31,0.62,Middle,Training_Data
S056,0.1,0.6,0.33,0.42,0.26,Low,Training_Data
S057,0.2,0.52,0.36,0.84,0.25,Middle,Training_Data
S058,0.09,0.6,0.66,0.19,0.59,Middle,Training_Data
S064,0.2,0.68,0.73,0.48,0.28,Low,Training_Data
S071,0.27,0.12,0.37,0.29,0.58,Middle,Training_Data
S073,0.29,0.15,0.33,0.66,0.08,very_low,Training_Data
S074,0.3,0.2,0.52,0.3,0.53,Middle,Training_Data
S077,0.265,0.06,0.57,0.75,0.1,Low,Training_Data
S078,0.275,0.1,0.72,0.1,0.3,Low,Training_Data
S079,0.245,0.1,0.71,0.26,0.2,very_low,Training_Data
S083,0.315,0.32,0.29,0.29,0.62,Middle,Training_Data
S085,0.27,0.1,0.1,0.7,0.25,Low,Training_Data
S091,0.258,0.28,0.64,0.29,0.56,Middle,Training_Data
S095,0.323,0.32,0.89,0.32,0.8,High,Training_Data
S102,0.299,0.32,0.31,0.33,0.87,High,Training_Data
S105,0.295,0.29,0.31,0.76,0.1,Low,Training_Data
S115,0.295,0.59,0.29,0.31,0.55,Middle,Training_Data
S117,0.265,0.6,0.28,0.66,0.07,very_low,Training_Data
S119,0.28,0.78,0.44,0.17,0.66,Middle,Training_Data
S125,0.325,0.9,0.52,0.49,0.76,High,Training_Data
S127,0.299,0.7,0.95,0.22,0.66,High,Training_Data
S132,0.4,0.18,0.26,0.26,0.67,Middle,Training_Data
S133,0.45,0.04,0.18,0.55,0.07,very_low,Training_Data
S138,0.37,0.06,0.32,0.78,0.1,Low,Training_Data
S141,0.33,0.04,0.5,0.55,0.1,very_low,Training_Data
S142,0.42,0.15,0.66,0.78,0.4,Middle,Training_Data
S146,0.46,0.2,0.76,0.95,0.65,High,Training_Data
S154,0.39,0.26,0.39,0.77,0.14,Low,Training_Data
S156,0.44,0.32,0.55,0.33,0.52,Middle,Training_Data
S169,0.35,0.38,0.32,0.6,0.16,Low,Training_Data
S173,0.44,0.33,0.59,0.53,0.85,High,Training_Data
S174,0.4,0.42,0.58,0.75,0.16,Low,Training_Data
S178,0.49,0.34,0.88,0.75,0.71,High,Training_Data
S181,0.365,0.68,0.1,0.63,0.18,Low,Training_Data
S193,0.37,0.6,0.77,0.4,0.5,Middle,Training_Data
S196,0.55,0.1,0.27,0.25,0.29,Low,Training_Data
S210,0.85,0.05,0.91,0.8,0.68,High,Training_Data
S224,0.68,0.27,0.78,0.31,0.57,Middle,Training_Data
S230,0.99,0.49,0.07,0.7,0.69,High,Training_Data
S232,0.61,0.33,0.36,0.28,0.28,Low,Training_Data
S234,0.83,0.44,0.49,0.91,0.66,High,Training_Data
S249,0.89,0.68,0.49,0.65,0.9,High,Training_Data
S250,0.72,0.6,0.45,0.79,0.45,Middle,Training_Data
S251,0.68,0.63,0.65,0.09,0.66,Middle,Training_Data
S266,0.12,0.12,0.75,0.68,0.15,Low,Test_Data
S267,0.2,0.2,0.88,0.77,0.8,High,Test_Data
S276,0.0,0.25,0.5,0.09,0.07,very_low,Test_Data
S279,0.2,0.32,0.65,0.31,0.89,High,Test_Data
S281,0.11,0.26,0.56,0.68,0.27,Low,Test_Data
S282,0.12,0.28,0.7,0.16,0.32,Low,Test_Data
S283,0.18,0.29,0.78,0.15,0.61,Middle,Test_Data
S284,0.2,0.25,0.7,0.25,0.03,very_low,Test_Data
S302,0.16,0.52,0.3,0.09,0.11,very_low,Test_Data
S308,0.1,0.6,0.51,0.1,0.01,very_low,Test_Data
S311,0.11,0.88,0.67,0.66,0.89,High,Test_Data
S323,0.28,0.12,0.38,0.17,0.6,Middle,Test_Data
S327,0.31,0.2,0.46,0.78,0.83,High,Test_Data
S332,0.31,0.15,0.58,0.76,0.52,Middle,Test_Data
S335,0.27,0.03,0.76,0.59,0.23,Low,Test_Data
S338,0.28,0.29,0.19,0.37,0.58,Middle,Test_Data
S341,0.26,0.26,0.31,0.26,0.13,very_low,Test_Data
S350,0.27,0.28,0.59,0.69,0.26,Middle,Test_Data
S353,0.29,0.66,0.35,0.28,0.31,Low,Test_Data
S354,0.29,0.74,0.39,0.41,0.54,Middle,Test_Data
S357,0.33,0.04,0.02,0.12,0.11,very_low,Test_Data
S365,0.42,0.29,0.14,0.03,0.68,Middle,Test_Data
S367,0.38,0.33,0.1,0.07,0.4,Low,Test_Data
S374,0.6,0.08,0.13,0.14,0.32,Low,Test_Data
S376,0.65,0.09,0.16,0.49,0.31,Low,Test_Data
S386,0.85,0.32,0.22,0.87,0.79,High,Test_Data
S391,0.78,0.47,0.29,0.98,0.59,High,Test_Data
S392,0.58,0.4,0.32,0.22,0.24,Low,Test_Data
S393,0.68,0.43,0.6,0.47,0.55,Middle,Test_Data
S399,0.9,0.78,0.62,0.32,0.89,High,Test_Data
S400,0.85,0.82,0.66,0.83,0.83,High,Test_Data
