x,y,true_label,cluster,plot_x,plot_y
31.95,7.95,3,0,1.8580443041537034,-1.2243939691073729
31.15,7.3,3,0,1.748278062732474,-1.3191984273991753
30.45,6.65,3,0,1.6522326014888986,-1.414002885690978
29.7,6.0,3,0,1.5493267501564962,-1.508807343982781
28.9,5.55,3,0,1.439560508735267,-1.5744411997232597
28.05,5.0,3,0,1.3229338772252113,-1.6546603567394005
27.2,4.55,3,0,1.2063072457151551,-1.7202942124798792
26.35,4.15,3,0,1.0896806142050992,-1.7786354175825272
25.4,3.85,3,0,0.9593332025173893,-1.822391321409513
24.6,3.6,3,0,0.8495669610961605,-1.858854574598668
23.6,3.3,3,0,0.7123591593196239,-1.902610478425654
22.75,3.15,3,0,0.5957325278095678,-1.9244884303391467
21.85,3.05,3,0,0.4722455062106851,-1.9390737316148088
20.9,3.0,3,0,0.34189809452297504,-1.9463663822526398
20.0,2.9,3,0,0.2184110729240924,-1.9609516835283016
19.1,3.0,3,0,0.09492405132520976,-1.9463663822526398
18.2,3.2,3,0,-0.02856297027367338,-1.917195779701316
17.3,3.25,3,0,-0.15204999187255602,-1.909903129063485
16.55,3.5,3,0,-0.2549558432049584,-1.87343987587433
15.7,3.7,3,0,-0.3715824747150146,-1.8442692733230062
14.85,4.1,3,0,-0.4882091062250706,-1.7859280682203582
14.15,4.4,3,0,-0.584254567468646,-1.7421721643933723
13.4,4.75,3,0,-0.6871604188010484,-1.6911236099285554
12.7,5.2,3,1,-0.7832058800446241,-1.6254897541880768
12.05,5.65,3,1,-0.8723909511993726,-1.5598558984475976
11.45,6.15,3,1,-0.9547156322652947,-1.4869293920692879
10.9,6.65,3,1,-1.0301799232423896,-1.414002885690978
10.3,7.25,3,1,-1.1125046043083116,-1.3264910780370065
9.7,7.85,3,1,-1.1948292853742335,-1.2389792703830347
9.35,8.35,3,1,-1.2428520159960212,-1.166052764004725
8.9,9.05,3,1,-1.3045955267954625,-1.063955655075091
8.55,9.65,3,1,-1.3526182574172503,-0.9764438474211193
8.15,10.35,3,1,-1.407501378127865,-0.8743467384914857
7.95,10.95,3,1,-1.4349429384831724,-0.786834930837514
7.75,11.7,3,1,-1.4623844988384795,-0.6774451712700492
7.55,12.35,3,1,-1.4898260591937869,-0.5826407129782464
7.45,13.0,3,1,-1.5035468393714406,-0.48783625468644365
7.35,13.75,3,1,-1.5172676195490942,-0.37844649511897893
7.3,14.35,3,1,-1.5241280096379208,-0.29093468746500717
7.35,14.95,3,1,-1.5172676195490942,-0.20342287981103546
7.35,15.75,3,1,-1.5172676195490942,-0.08674046960573968
7.55,16.35,3,1,-1.4898260591937869,0.0007713380482322984
7.7,16.95,3,1,-1.4692448889273064,0.08828314570220376
7.8,17.55,3,1,-1.4555241087496527,0.17579495335617573
8.05,18.15,3,1,-1.4212221583055185,0.2633067610101472
8.3,18.75,3,1,-1.3869202078613845,0.35081856866411915
8.65,19.3,3,1,-1.3388974772395967,0.43103772568026005
8.9,19.85,3,1,-1.3045955267954625,0.5112568826964009
9.3,20.3,3,1,-1.249712406084848,0.5768907384368797
9.65,20.8,3,1,-1.2016896754630602,0.6498172448151894
10.2,21.25,3,1,-1.1262253844859653,0.7154511005556682
10.6,21.65,3,1,-1.0713422637753507,0.7737923056583158
11.1,22.15,3,1,-1.0027383628870825,0.8467188120366257
11.55,22.45,3,1,-0.9409948520876409,0.8904747158636116
11.95,22.7,3,1,-0.8861117313770265,0.9269379690527666
12.55,23.0,3,1,-0.8037870503111043,0.9706938728797525
13.05,23.2,3,1,-0.7351831494228361,0.9998644754310764
13.45,23.4,3,2,-0.6803000287122217,1.0290350779824002
14.0,23.55,3,2,-0.6048357377351266,1.0509130298958935
14.55,23.6,3,2,-0.5293714467580314,1.0582056805337245
15.1,23.75,3,2,-0.45390715578093643,1.0800836324472172
15.7,23.75,3,2,-0.3715824747150146,1.0800836324472172
16.15,23.85,3,2,-0.3098389639155733,1.0946689337228794
16.7,23.8,3,2,-0.2343746729384781,1.0873762830850484
17.15,23.75,3,2,-0.1726311621390368,1.0800836324472172
17.75,23.75,3,2,-0.0903064810731147,1.0800836324472172
18.2,23.6,3,2,-0.02856297027367338,1.0582056805337245
18.65,23.5,3,2,0.033180540525767944,1.0436203792580623
19.1,23.35,3,2,0.09492405132520976,1.0217424273445697
19.6,23.15,3,2,0.163527952213478,0.9925718247932452
20.0,22.95,3,2,0.2184110729240924,0.9634012222419215
20.4,22.7,3,2,0.2732941936347068,0.9269379690527666
20.7,22.55,3,2,0.31445653416766783,0.9050600171392739
21.0,22.15,3,2,0.35561887470062886,0.8467188120366257
21.45,21.95,3,2,0.4173623855000702,0.8175482094853018
21.75,21.55,3,2,0.45852472603303124,0.7592070043826542
22.0,21.25,3,2,0.4928266764771654,0.7154511005556682
22.25,21.0,3,2,0.5271286269212995,0.6789878473665133
22.5,20.7,3,2,0.5614305773654337,0.6352319435395273
22.65,20.35,3,2,0.5820117476319139,0.5841833890747108
22.75,20.05,3,2,0.5957325278095678,0.5404274852477248
22.9,19.65,3,2,0.6163136980760481,0.4820862801450766
23.0,19.35,3,2,0.6300344782537018,0.43833037631809113
23.1,19.0,3,2,0.6437552584313557,0.3872818218532741
23.15,18.65,3,2,0.6506156485201822,0.336233267388457
23.2,18.25,3,2,0.657476038609009,0.27789206228580937
23.2,18.05,3,2,0.657476038609009,0.24872145973448553
23.2,17.8,3,2,0.657476038609009,0.21225820654533065
23.1,17.45,3,2,0.6437552584313557,0.16120965208051358
23.05,17.15,3,2,0.6368948683425288,0.11745374825352757
22.9,16.9,3,0,0.6163136980760481,0.08099049506437267
22.85,16.6,3,0,0.6094533079872216,0.037234591237387205
22.7,16.4,3,0,0.5888721377207409,0.008063988686062864
22.6,16.2,3,0,0.5751513575430874,-0.021106613865260956
22.55,16.05,3,0,0.5682909674542606,-0.04298456577875369
22.4,15.95,3,0,0.5477097971877798,-0.05756986705441586
22.35,15.8,3,0,0.5408494070989533,-0.07944781896790859
22.2,15.65,3,0,0.5202682368324726,-0.10132577088140159
22.15,15.55,3,0,0.5134078467436457,-0.1159110721570635
22.0,15.4,3,0,0.4928266764771654,-0.1377890240705565
21.9,15.3,3,0,0.47910589629951156,-0.1523743253462184
21.85,15.25,3,0,0.4722455062106851,-0.1596669759840495
21.75,15.15,3,0,0.45852472603303124,-0.1742522772597114
21.65,15.05,3,0,0.4448039458553774,-0.1888375785353733
21.55,15.0,3,0,0.43108316567772403,-0.19613022917320438
21.5,14.9,3,0,0.42422277558889715,-0.2107155304488663
19.35,31.65,1,2,0.12922600176934387,2.232322433224512
20.35,31.45,1,2,0.26643380354588037,2.203151830673188
21.35,31.1,1,2,0.40364160532241683,2.1521032762083716
22.25,30.9,1,2,0.5271286269212995,2.122932673657047
23.2,30.45,1,2,0.657476038609009,2.0572988179165685
23.95,30.05,1,2,0.7603818899414114,1.998957612813921
24.9,29.65,1,2,0.890729301629121,1.9406164077112729
25.6,29.05,1,2,0.9867747628726969,1.8531046000573013
26.35,28.5,1,2,1.0896806142050992,1.7728854430411605
27.15,27.9,1,2,1.199446855626328,1.6853736353871884
27.75,27.35,1,2,1.2817715366922502,1.605154478371048
28.3,26.6,1,2,1.3572358276693453,1.4957647188035834
28.95,25.85,1,2,1.4464208988240939,1.3863749592361188
29.5,25.15,1,2,1.5218851898011891,1.2842778503064844
29.95,24.45,1,2,1.5836287006006304,1.1821807413768508
30.4,23.7,1,2,1.6453722114000717,1.0727909818093861
30.6,22.9,1,2,1.6728137717553795,0.9561085716040904
30.9,22.1,1,2,1.71397611228834,0.8394261613987951
31.25,21.3,1,2,1.7619988429101279,0.7227437511934993
31.35,20.55,1,2,1.7757196230877816,0.6133539916260345
31.5,19.7,1,2,1.796300793354262,0.48937893078290773
31.55,18.9,1,2,1.803161183443089,0.3726965205776119
31.65,18.15,1,2,1.8168819636207423,0.2633067610101472
31.6,17.35,1,0,1.8100215735319158,0.14662435080485192
31.45,16.55,1,0,1.7894404032654352,0.029941940599556117
31.3,15.8,1,0,1.7688592329989548,-0.07944781896790859
31.15,15.05,1,0,1.748278062732474,-0.1888375785353733
30.9,14.35,1,0,1.71397611228834,-0.29093468746500717
30.6,13.65,1,0,1.6728137717553795,-0.3930317963946408
30.3,13.0,1,0,1.6316514312224184,-0.48783625468644365
29.9,12.3,1,0,1.5767683105118036,-0.5899333636160773
29.5,11.75,1,0,1.5218851898011891,-0.6701525206322182
29.0,11.15,1,0,1.4532812889129207,-0.7576643282861899
28.5,10.6,1,0,1.3846773880246526,-0.8378834853023307
28.0,10.1,1,0,1.3160734871363844,-0.9108099916806406
27.55,9.65,1,0,1.254329976336943,-0.9764438474211193
26.9,9.1,1,0,1.165144905182194,-1.0566630044372602
26.25,8.8,1,0,1.0759598340274454,-1.100418908264246
25.7,8.4,1,0,1.0004955430503504,-1.1587601133668939
25.15,8.05,1,0,0.9250312520732551,-1.2098086678317106
24.5,7.75,1,0,0.8358461809185066,-1.2535645716586965
23.9,7.65,1,0,0.7535214998525845,-1.2681498729343585
23.15,7.4,1,0,0.6506156485201822,-1.3046131261235134
22.5,7.3,1,0,0.5614305773654337,-1.3191984273991753
21.9,7.1,1,0,0.47910589629951156,-1.3483690299504993
21.25,7.05,1,0,0.389920825144763,-1.3556616805883301
20.5,7.0,1,0,0.28701497381236063,-1.3629543312261614
19.9,6.95,1,0,0.20469029274643855,-1.3702469818639924
19.25,7.05,1,0,0.11550522159169004,-1.3556616805883301
18.75,7.1,1,0,0.04690132070342179,-1.3483690299504993
18.05,7.25,1,0,-0.049144140540153654,-1.3264910780370065
17.5,7.35,1,0,-0.12460843151724882,-1.3119057767613445
16.9,7.6,1,0,-0.2069331125831709,-1.2754425235721896
16.35,7.8,1,0,-0.2823974035602656,-1.2462719210208655
15.8,8.05,1,0,-0.3578616945373608,-1.2098086678317106
15.4,8.35,1,0,-0.4127448152479754,-1.166052764004725
14.9,8.7,1,0,-0.48134871613624364,-1.115004209539908
14.45,8.9,1,1,-0.5430922269356853,-1.0858336069885839
13.95,9.3,1,1,-0.6116961278239534,-1.0274924018859362
13.6,9.65,1,1,-0.6597188584457412,-0.9764438474211193
13.25,10.1,1,1,-0.7077415890675289,-0.9108099916806406
12.95,10.55,1,1,-0.7489039296004899,-0.8451761359401616
12.65,10.9,1,1,-0.7900662701334508,-0.7941275814753448
12.35,11.4,1,1,-0.8312286106664117,-0.7212010750970349
12.2,11.75,1,1,-0.8518097809328923,-0.6701525206322182
11.95,12.2,1,1,-0.8861117313770265,-0.6045186648917394
11.8,12.65,1,1,-0.9066929016435067,-0.5388848091512605
11.75,13.05,1,1,-0.9135532917323337,-0.4805436040486125
11.55,13.6,1,1,-0.9409948520876409,-0.4003244470324719
11.55,14.0,1,1,-0.9409948520876409,-0.341983241929824
11.55,14.35,1,1,-0.9409948520876409,-0.29093468746500717
11.55,14.7,1,1,-0.9409948520876409,-0.23988613300019038
11.6,15.25,1,1,-0.9341344619988141,-0.1596669759840495
11.65,15.7,1,1,-0.9272740719099872,-0.09403312024357076
11.8,16.05,1,1,-0.9066929016435067,-0.04298456577875369
11.85,16.5,1,1,-0.89983251155468,0.022649289961725032
12.0,16.75,1,1,-0.8792513412881995,0.05911254315087994
12.15,17.2,1,1,-0.8586701710217189,0.12474639889135866
12.3,17.6,1,1,-0.8380890007552385,0.1830876039940068
12.55,17.85,1,1,-0.8037870503111043,0.21955085718316172
12.8,18.05,1,1,-0.7694850998669702,0.24872145973448553
13.1,18.4,1,1,-0.7283227593340095,0.2997700141993021
13.3,18.6,1,1,-0.7008811989787019,0.3289406167506264
13.55,18.85,1,1,-0.6665792485345678,0.36540386993978136
13.8,19.05,1,1,-0.6322772980904338,0.39457447249110517
14.15,19.25,1,1,-0.584254567468646,0.423745075042429
14.45,19.5,1,1,-0.5430922269356853,0.46020832823158386
14.85,19.55,1,1,-0.4882091062250706,0.46750097886941494
15.0,19.7,1,1,-0.46762793595859004,0.48937893078290773
15.25,19.7,1,1,-0.43332598551445595,0.48937893078290773
15.55,19.85,1,1,-0.39216364498149486,0.5112568826964009
15.95,19.9,1,2,-0.33728052427088046,0.5185495333342315
16.2,19.9,1,2,-0.30297857382674637,0.5185495333342315
16.55,19.9,1,2,-0.2549558432049584,0.5185495333342315
16.85,19.9,1,2,-0.21379350267199734,0.5185495333342315
17.2,19.9,1,2,-0.16577077205020987,0.5185495333342315
17.4,19.8,1,2,-0.13832921169490267,0.5039642320585699
17.65,19.75,1,2,-0.10402726125076854,0.4966715814207388
17.8,19.7,1,2,-0.08344609098428778,0.48937893078290773
18.0,19.6,1,2,-0.05600453062898058,0.4747936295072461
18.2,19.55,1,2,-0.02856297027367338,0.46750097886941494
3.9,9.6,2,1,-1.990634535678145,-0.9837364980589504
3.55,10.65,2,1,-2.038657266299933,-0.8305908346644997
3.35,11.4,2,1,-2.06609882665524,-0.7212010750970349
3.1,12.35,2,1,-2.1004007770993742,-0.5826407129782464
3.1,13.25,2,1,-2.1004007770993742,-0.4513730014972887
3.05,14.15,2,1,-2.107261167188201,-0.32010529001633103
3.0,15.1,2,1,-2.114121557277028,-0.18154492789754248
3.1,16.0,2,1,-2.1004007770993742,-0.05027721641658477
3.2,16.85,2,1,-2.086679996921721,0.0736978444265421
3.45,17.75,2,1,-2.0523780464775867,0.20496555590749954
3.7,18.7,2,1,-2.0180760960334525,0.34352591802628807
3.95,19.55,2,1,-1.9837741455893183,0.46750097886941494
4.35,20.25,2,1,-1.9288910248787037,0.5695980877990486
4.7,21.1,2,1,-1.880868294256916,0.6935731486421755
5.15,21.8,2,1,-1.8191247834574744,0.7956702575718091
5.6,22.5,2,1,-1.7573812726580331,0.8977673665014427
6.2,23.3,2,1,-1.6750565915921112,1.0144497767067384
6.8,23.85,2,1,-1.5927319105261892,1.0946689337228794
7.35,24.45,2,1,-1.5172676195490942,1.1821807413768508
8.05,24.95,2,1,-1.4212221583055185,1.2551072477551606
8.8,25.45,2,1,-1.318316306973116,1.3280337541334706
9.5,26.0,2,1,-1.2222708457295408,1.4082529111496114
10.2,26.35,2,1,-1.1262253844859653,1.4593014656144285
10.9,26.75,2,2,-1.0301799232423896,1.517642670717076
11.7,27.0,2,2,-0.9204136818211606,1.554105923906231
12.45,27.25,2,2,-0.8175078304887582,1.5905691770953858
13.3,27.6,2,2,-0.7008811989787019,1.641617731560203
14.05,27.6,2,2,-0.5979753476462996,1.641617731560203
14.7,27.75,2,2,-0.5087902764915511,1.6634956834736958
15.55,27.75,2,2,-0.39216364498149486,1.6634956834736958
16.4,27.75,2,2,-0.27553701347143916,1.6634956834736958
17.1,27.75,2,2,-0.17949155222786323,1.6634956834736958
17.9,27.75,2,2,-0.06972531080663442,1.6634956834736958
18.55,27.7,2,2,0.01945976034811459,1.6562030328358646
19.35,27.6,2,2,0.12922600176934387,1.641617731560203
20.1,27.35,2,2,0.23213185310174625,1.605154478371048
20.7,27.1,2,2,0.31445653416766783,1.5686912251818932
21.45,26.8,2,2,0.4173623855000702,1.5249353213549073
22.05,26.5,2,2,0.4996870665659923,1.4811794175279211
22.7,26.15,2,2,0.5888721377207409,1.4301308630631042
23.35,25.65,2,2,0.6780572088754898,1.3572043566847942
23.8,25.3,2,2,0.7398007196749311,1.3061558022199777
24.3,24.85,2,2,0.8084046205631994,1.240521946479499
24.75,24.35,2,2,0.8701481313626407,1.1675954401011892
25.25,23.95,2,2,0.938752032250909,1.109254234998541
25.65,23.45,2,2,0.9936351529615234,1.0363277286202313
26.05,23.0,2,2,1.0485182736721383,0.9706938728797525
26.2,22.3,2,2,1.0690994439386186,0.8685967639501189
26.6,21.8,2,2,1.1239825646492334,0.7956702575718091
26.75,21.25,2,2,1.1445637349157136,0.7154511005556682
27.0,20.7,2,2,1.1788656853598478,0.6352319435395273
27.15,20.15,2,2,1.199446855626328,0.5550127865233864
27.15,19.6,2,2,1.199446855626328,0.4747936295072461
27.35,19.1,2,2,1.2268884159816358,0.40186712312893624
27.35,18.45,2,2,1.2268884159816358,0.3070626648371332
27.4,18.0,2,2,1.2337488060704622,0.24142880909665446
27.3,17.4,2,2,1.220028025892809,0.15391700144268247
27.15,16.9,2,0,1.199446855626328,0.08099049506437267
27.0,16.4,2,0,1.1788656853598478,0.008063988686062864
27.0,15.9,2,0,1.1788656853598478,-0.06486251769224669
26.75,15.35,2,0,1.1445637349157136,-0.14508167470838756
26.55,14.85,2,0,1.1171221745604065,-0.2180081810866974
26.3,14.45,2,0,1.0828202241162723,-0.2763493861893453
25.95,14.1,2,0,1.0347974934944844,-0.3273979406541621
25.75,13.7,2,0,1.0073559331391773,-0.38573914575681
25.35,13.3,2,0,0.9524728124285629,-0.44408035085945763
25.05,12.95,2,0,0.9113104718956018,-0.4951289053242747
24.8,12.7,2,0,0.8770085214514677,-0.5315921585134296
24.4,12.45,2,0,0.8221254007408527,-0.5680554117025846
24.05,12.2,2,0,0.7741026701190653,-0.6045186648917394
23.55,11.85,2,0,0.705498769230797,-0.6555672193565563
23.2,11.65,2,0,0.657476038609009,-0.68473782190788
22.75,11.4,2,0,0.5957325278095678,-0.7212010750970349
22.3,11.3,2,0,0.5339890170101265,-0.7357863763726968
21.9,11.1,2,0,0.47910589629951156,-0.7649569789240209
21.45,11.05,2,0,0.4173623855000702,-0.7722496295618517
21.1,11.0,2,0,0.36933965487828274,-0.7795422801996829
20.7,10.95,2,0,0.31445653416766783,-0.786834930837514
20.35,10.95,2,0,0.26643380354588037,-0.786834930837514
19.95,11.0,2,0,0.21155068283526549,-0.7795422801996829
19.55,11.0,2,0,0.15666756212465108,-0.7795422801996829
19.15,11.05,2,0,0.10178444141403618,-0.7722496295618517
18.85,11.1,2,0,0.060622100881075634,-0.7649569789240209
18.45,11.25,2,0,0.005738980170460744,-0.743079027010528
18.15,11.35,2,0,-0.0354233603625003,-0.728493725734866
17.85,11.5,2,0,-0.07658570089546085,-0.7066157738213731
17.5,11.7,2,0,-0.12460843151724882,-0.6774451712700492
17.2,11.95,2,0,-0.16577077205020987,-0.6409819180808943
17.0,12.05,2,0,-0.19321233240551708,-0.6263966168052322
16.75,12.2,2,0,-0.2275142828496512,-0.6045186648917394
16.65,12.35,2,0,-0.24123506302730505,-0.5826407129782464
16.5,12.5,2,0,-0.26181623329378534,-0.5607627610647534
16.35,12.7,2,1,-0.2823974035602656,-0.5315921585134296
16.2,12.8,2,1,-0.30297857382674637,-0.5170068572377674
16.15,12.95,2,1,-0.3098389639155733,-0.4951289053242747
16.0,13.1,2,1,-0.33042013418205357,-0.4732509534107817
15.95,13.25,2,1,-0.33728052427088046,-0.4513730014972887
15.9,13.4,2,1,-0.3441409143597072,-0.42949504958379575
15.8,13.5,2,1,-0.3578616945373608,-0.4149097483081338
15.8,13.65,2,1,-0.3578616945373608,-0.3930317963946408
15.75,13.85,2,1,-0.36472208462618766,-0.363861193843317
15.65,14.05,2,1,-0.37844286480384126,-0.3346905912919929
15.65,14.25,2,1,-0.37844286480384126,-0.3055199887406691
15.65,14.5,2,1,-0.37844286480384126,-0.2690567355515142
15.65,14.6,2,1,-0.37844286480384126,-0.2544714342758523
